SPANISH,BASQUE,DESCRIPTION,CATEGORY,SUB-CATEGORY 1,SUB-CATEGORY 2
Antiguo,Antigua,,Geography and places,Cities,Neighborhoods
Bataplán,Bataplán,,Culture and the arts,Entertainment,Nightclub
Bilbao,Bilbo,,Geography and places,Cities,
calimocho,kalimotxoa,,Culture and the arts,Culture and Humanities,Food and drink
Daba Daba,Daba Daba,,Culture and the arts,Entertainment,Nightclub
Eduardo Chillida,Eduardo Chillida,,Culture and the arts,Visual arts,Sculpture
Egia,Egia,,Geography and places,Cities,Neighborhood
galerna,enbata,,Natural and physical sciences,Atmospheric sciences,Wind
Gilda,Gilda,,Culture and the arts,Culture and Humanities,Food and drink
Gros,Gros,,Geography and places,Cities,Neighborhoods
Ibaeta,Ibaeta,,Geography and places,Cities,Neighborhoods
Igueldo,Igeldo,,Geography and places,Cities,Neighborhoods
Iguana,Iguana,,Culture and the arts,Drinking Establishment,Bar
La Concha,Kontxa,,Geography and places,Physical Geography,Beach
La oreja de Van Gogh,La oreja de Van Gogh,,Culture and the arts,Music,Band
Mugi,Mugi,,Human activities,Transport,Transit pass
Museo Guggenheim Bilbao,Guggenheim Museoa,,Culture and the arts,Culture,Cultural Institution
Ondarreta,Ondarreta,,Geography and places,Physical Geography,Beach
País Vasco,Euskadi,,Geography and places,Regions,
Peine del Viento,Haizearen orrazia,,Culture and the arts,Visual arts,Sculpture
pintxo,pintxo,,Culture and the arts,Culture and Humanities,Food and drink
pintxo pote,pintxo pote,,Culture and the arts,Culture and Humanities,Food and drink
Playa de La Concha,Kontxa Hondartza,,Geography and places,Physical Geography,Beaches
Real Sociedad,Real Sociedad,,Culture and the arts,Association Football,Association Football Teams
Reale Arena,Reale Arena,,Geography and places,Association Football,Association Football Venues
San Sebastián,Donostia,,Geography and places,Cities,
Santo Tomás,San Tomas,,Culture and the arts,Cultural Events,Cultural Festivals
Tabakalera,Tabakalera,,Culture and the arts,Culture,Cultural Institution
Tamborrada,Danborrada,,Culture and the arts,Cultural Events,Cultural Festivals
tarta de queso,gazta tarta,,Culture and the arts,Culture and Humanities,Food and drink
tortilla de patatas,patata-arrautzopil,,Culture and the arts,Culture and Humanities,Food and drink
txaka,surimi,,Culture and the arts,Culture and Humanities,Food and drink
chacolí,txakoli,,Culture and the arts,Culture and Humanities,Food and drink
Universidad del País Vasco,Euskal Herriko Unibertsitatea,,Human activities,Education,University
Vitória-Gasteiz,Gasteiz,,Geography and places,Cities,
Zurito,zurito,,Culture and the arts,Culture and Humanities,Food and drink
Zurriola,Zurriola,,Geography and places,Physical Geography,Beaches
Kursaal,Kursaal,,Human activities,Performing Arts,Performing Arts Venue
Monte Ulia,Ulia Mendia,,Geography and places,Mountains,
vasco,euskara,,Culture and the arts,Culture and Humanities,Language
pincho donostiarra,pintxo donostiarra,,Culture and the arts,Culture and Humanities,Food and drink
Monte Urgull,Urgull Mendia,,Geography and places,Mountains,
Polboriña,Polboriña,,Culture and the arts,Drinking Establishment,Bar
